buseness_id,category,yelp_rating,number_of_reviews,recommended
lfW0T-j4VtQA1yNV4YZfoA,Italian,4.5,305,1
eIdP-kAiU541UVyYryQpjQ,Breakfast & Brunch,4.5,526,1
o0xaISxSGNJpC_RHstnXCg,Breakfast & Brunch,4.5,539,1
FsCujpVh9Za2Dl5MIYLCxA,Sushi Bars,4.5,578,1
eG64VXdW3RzQhsmTbr-rCw,Mexican,4.5,373,1
eR7Iw_X54m3YLWkXp9y35Q,Japanese,4.5,499,1
mgVA9tNReJqiUGx33nfqqQ,Bars,4.5,499,1
MDPv2B2jwA1qLvQCXlEVww,American (New),4.5,530,1
g-YOzV9YIPmo6vZBHQuuUg,Tacos,4.5,653,1
FBQp3R_PQIM9eGnkqzmlOw,American (New),4.5,2785,1
XiN6fI8I3Mzg2nPRJ9ukRQ,Italian,4.5,346,1
oidsSjjDxAliG3PFXxLQiA,Japanese,3.5,418,0
xNe_zxW9hAagLyYWboXaPQ,Bars,3.5,461,0
ka1_lat2boQwLMsOCiwGiA,Chinese,3.5,3972,0
xxx_0Ol7lbK0hVzv7x0-Yg,Szechuan,3.5,351,0
mkw-eBsRd5S-hZkDeEhUfw,Chinese,3.5,354,0
Z_Y3BqUKbFXm0B_NkruDcQ,Mexican,3.5,382,0
Yq4TjSPkVnA0H92ej2LK2A,Indian,3.5,418,0
A807alX7WhJ5gXtUPK2grg,Mexican,3.5,2306,0
2QGyW4T6E_4iSltdx9i2RQ,Italian,3.5,369,0
8bJr4G9QtbJ_tmEbVX6X4A,Smokehouse,3.5,313,0
pe4CqU6XChoFp-fuqnfWvg,Chinese,3.5,440,0
9STKYeLeC1mWYq-M123Evg,Chinese,3.5,343,0
bacKvSiYhtn2mbS5UkG2JQ,Mexican,3.5,473,0
8HwwGSHlCEGbJiMDx_fkHg,Chinese,3.5,932,0
LTQIbwEn3vlr2Tix3jRGwg,Barbeque,3.5,581,0
-YirpyIrihkD5zsJ4g4WRw,Indian,3.5,370,0
APColJVZ2FRLJhBWQaxE_Q,Indian,3.5,620,0
luj6QJYgI4XkAR_t8SFxvQ,Indian,3.5,713,0
m1LOUjVzAAoCS61BTL5i5g,Korean,3.5,330,0
TfkE5yyo7VOjJWn7-TsERA,Korean,3.5,316,0
yBxqssmN7pzn_MUyp_angA,Japanese,3.5,534,0
tEut9QRnEl_OmESRJ29aEQ,Japanese,3.5,927,0
cRHXug5ja_xSTgIxXYOC9g,Mexican,3.5,320,0
C6O2SVTUd99XyjGQ3d-7qQ,Mexican,3.5,309,0
XkXVsgLVRvbabDkEX0NFDg,Chinese,3.5,839,0
smiGOZuyboXfc8LyC2jXpg,American (Traditional),3.5,762,0
4VYPk4EB_Rf0OL56eeATOQ,Indian,3.5,892,0
NakYxRyy30sQHWc0Ukdjmg,Mexican,3.5,398,0
LaDz_zmEQSQGyLvwgHSezw,Mexican,3.5,542,0
oD4ZUh3XHx9x58c-lXtnOA,Sushi Bars,3.5,301,0
RMmFt_qo4FUiFh-JOW0pEw,Korean,3.5,453,0
IhsJHBMamH3wrjOdZSYu5g,Mexican,3.5,1234,0
WTVqZnmbQKvZ9uYJlUBULQ,Chinese,3.5,637,0
8R_jdqAvo36vYby-Go_1Bw,Barbeque,3.0,343,0
m8Bz52LH-6FMBP8v-EYJAw,Italian,3.5,570,0
FJlMfEtr7E-uTzUxspuzIg,Indian,3.5,753,0
P8y33uhsZkNziCUR2gw2wA,Szechuan,3.5,810,0
LOYwlpV6hscup6TudvQPbQ,Mexican,3.5,339,0
iN_P0PMDjM-8eJp9uvAN-g,Indian,3.5,536,0
2Qt0jrE7R8cgsAS9C2B60A,Asian Fusion,3.5,464,0
cM4VH3yO_ZmN84QqVIAJcg,Korean,3.5,434,0
F7d32-PQcfIEX-bAaMjV_Q,Japanese,3.5,513,0
7Fpkt7wzJdISBo0rS9M6Dg,American (New),3.5,553,0
dLS8GPg-K1O-zJ3VJAtiyg,Indian,3.5,1202,0
G9ZDZDWzOO4smNTaw19VSg,Mexican,3.5,1104,0
AudaIEcjtdPB4c7JpcBjzA,Italian,3.5,936,0
KYAUqsfMEuzLea2NXC9N1w,Seafood,3.5,376,0
d2ru6HhcKITjBx1rXETAfA,Indian,3.5,405,0
tjBXGjWKllYhy8DHPhI-0Q,Seafood,3.5,309,0
ZsjzxW5eN1SzojrgD4894A,Indian,3.5,1032,0
Qo1dRss-My3TXIVE-JtRHA,Korean,3.5,390,0
PwbeSKSCBnqXJlAxEaUrnA,Mexican,3.5,564,0
Md6895ZtS3FA8a0pUaH6nw,American (New),3.0,474,0
OujTJ9fKn9SI78HJS8WjLA,Italian,3.5,475,0
Td-uLb5BUifr7Su-eKKqyw,Chinese,3.5,615,0
lQmmV0rSkQp24kPyG4S5Zg,Mexican,2.5,309,0
Wt5gWUSAEybAGhOdAz_zEA,Mexican,3.5,569,0
YzluF3FNGjnW-tOrLZt8JA,Sushi Bars,3.5,483,0
otWXARjK6O5ZCHARUPF2Aw,Italian,3.5,541,0
DFpapTGO62RaBsbpupTqvw,Italian,3.5,502,0
oJb8DabNlhGaH0YXma1s6Q,Mexican,3.5,333,0
xHRsdh_9UlVetHMtRXL4sQ,Korean,3.5,625,0
uQHA20detCZGZJCS4tQkGg,Japanese,3.5,805,0
rFVXX2vRHhKmY6LpzpSeeQ,Korean,3.5,716,0
VO15t9gK-Tux64wo-R3V9w,Chinese,3.5,597,0
C154P1Wsxv0p2jBFh0fLSA,Chinese,3.5,325,0
sKyz9G6_LHGUAV5jRraCuw,Chinese,3.0,305,0
r5whDJQVaIoW79WoMcWEhw,Sushi Bars,3.5,414,0
vxHYA9vBoLqsvWyslQcE0A,Italian,3.5,1328,0
lVE24j9GVDQtJ-6YHROyYg,Indian,3.5,419,0
